id_hecho;fecha_hecho;periodo;partido;tipo;modalidad;barrio;arma;detenidos;victima_edad;victima_sexo;resultado;estado;notas
R09;;s/d;General Pueyrredon;reclamo_vecinal;;;;;;;;confirmado;Crecen las convocatorias vecinales: cada vez mas barrios se organizan. Villa Primera, Constitucion, Parque Luro, Zacagnini, Montemar, Caisamar, Estrada, Los Pinares, Aeroparque.
R10;;s/d;General Pueyrredon;reclamo_vecinal;;;;;;;;confirmado;Mar del Plata no puede acostumbrarse a vivir con miedo.
R11;;s/d;General Pueyrredon;contexto;;;;;;;;confirmado;Editorial: no alcanza con ordenar la ciudad, hay que hacerla segura.
R12;;s/d;General Pueyrredon;contexto;;;;;;;;confirmado;Mar del Plata, donde la inseguridad se ha vuelto parte de la vida cotidiana.
R13;2026-08-01;2026-08;General Pueyrredon;reclamo_vecinal;;;;;;;;confirmado;CAFAMAR, la camara de ferreterias, exigio un plan integral de prevencion tras el crimen del ferretero.
R14;2026-08-01;2026-08;General Pueyrredon;reclamo_vecinal;;;;;;;;confirmado;"Ferreteros exigen respuestas tras el asesinato del comerciante del barrio Libertad. El Retrato de Hoy ubica al comerciante en el barrio Libertad; el hecho está registrado en Malvinas Argentinas. Se deja el barrio vacío por ser un reclamo gremial y no un hecho localizado."
X01;2026-07-30;2026-07;General Pueyrredon;contexto;;;;;;;;confirmado;Javier Zumpano, presidente del Foro Municipal de Seguridad de General Pueyrredón, denuncia que las comisarías perdieron hasta el 75% de sus efectivos: una pasó de 120 a 30. Señala además 600 carpetas psiquiátricas sobre unos 2.500 efectivos y atribuye el 90% de la responsabilidad al poder político.
X02;2026-07-29;2026-07;General Pueyrredon;contexto;;;;;;;;confirmado;Confirman que creció un 20% la venta de armas por la inseguridad. Fuente: Maximiliano Orsini, Universal Arms. Armas cortas y escopetas para defensa del hogar.
X03;2026-01-21;2026-01;General Pueyrredon;contexto;;;;;;;;confirmado;Crecio la venta de armas: antes se compraban para practica deportiva, hoy la mayoria para defensa personal.
X04;;s/d;General Pueyrredon;contexto;;;;;;;;confirmado;Tenencia de armas: entre el miedo, la inseguridad y la desregulacion.
X05;;s/d;General Pueyrredon;contexto;;;;;;;;confirmado;Crece la venta de armas a mujeres por la inseguridad.
X06;;s/d;General Pueyrredon;contexto;;;;;;;;confirmado;La oposicion alerto por una suba de delitos y revelo que hubo un homicidio cada seis dias (datos del primer trimestre).
X07;2026-07-20;2026-07;General Pueyrredon;violencia_genero;falsa_oferta_laboral;;;0;;F;evitado;confirmado;ALERTA PREVIA. Una joven publicó en Instagram el 20/7 el intento de captación que evitó: aviso en un grupo laboral buscando chicas de 18 a 35 para depilación láser, mensajes entre las 23 y la 1, pedido insistente de fotos actuales, cita en un edificio sin nombre de negocio, y fotos de la supuesta empleadora generadas con IA. Misma modalidad que el femicidio ocurrido doce días antes.
R15;2026-08-03;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;Crónica: tres homicidios en menos de 24 horas. Dos el sábado y el femicidio del domingo (ver H02, H03, H06). Contexto de cacerolazos del jueves previo.
M09;2026-08-04;2026-08;General Pueyrredon;robo_via_publica;salidera,motochorro;La Perla;s/d;2;;M;consumado;confirmado;"SALIDERA BANCARIA. La victima salia de la sucursal del Banco Nacion de Libertad y Dorrego. Cuatro delincuentes la abordaron en Libertad entre Jujuy y Espana, 10:30. Llevaba 800.000 pesos y 9.500 dolares para pagar un viaje; apenas se recuperaron 300.000. Sufrio lesiones. Dos aprehendidos, dos profugos, una moto secuestrada. Cargado inicialmente como motochorro y reclasificado al conocerse el origen bancario. El barrio corresponde al lugar del asalto, Libertad entre Jujuy y España, que es La Perla. La sucursal de Libertad y Dorrego, de donde salió la víctima, está en Nueva Pompeya."
C07;2026-08-04;2026-08;General Pueyrredon;robo_comercio;forzamiento;Centro (microcentro);s/d;3;;;consumado;confirmado;Barberia en Hipolito Yrigoyen al 1300. Violentaron la vidriera de madrugada. Se llevaron maquinas de cortar, rasuradora, secador, gel y prendas. Tres detenidos de 22, 34 y 40 anos. Alerta al 911 por tres encapuchados atacando el frente. Local cerrado.
H07;2026-08-04;2026-08;Mar Chiquita;muerte_dudosa;;Vivorata;s/d;0;40;F;s/d;en_investigacion;La víctima, de 40 años, sin domicilio fijo. Sería trabajadora sexual de Mar del Plata. Cuerpo dentro de una bolsa negra, semienterrado en una zanja del camino rural Chara Huinca, a 3,5 km al suroeste de Vivoratá, cerca del acceso al Parque Eólico. Muerte estimada 15 días antes del hallazgo. Carátula: averiguación de causales de muerte. Fiscal Ramiro Anchou.
M10;2026-07-15;2026-07;General Alvarado;robo_automotor;motochorro;Miramar;fuego;2;18;M;tentativa;confirmado;Caravana de festejos, 20:00. Le apoyaron un revolver en el cuello y lo golpearon en el rostro con el arma. Intentaron robarle la moto. Dos detenidos tras allanamientos. Imputados por robo agravado por uso de arma de fuego en grado de tentativa, lesiones y tenencia ilegal de arma de fuego.
C08;2026-08-02;2026-08;General Pueyrredon;robo_comercio;forzamiento;Batan;s/d;1;;;consumado;confirmado;Comercio en Urquiza y Av. San Martin, alrededor de las 3:50 de la madrugada del domingo. Al ser visto por vecinos escapo y descarto 24.000 pesos, que se recuperaron. Detenido cerca de las 5 en Camino Viejo Otamendi-Miramar y Camino Independencia, en bicicleta, con 30.100 pesos y cinco maquinas de cortar cabello de origen en investigacion. Coincide el tipo de mercaderia con el robo a la barberia del microcentro (C07), pero son hechos distintos y la fiscalia no afirmo vinculo.
C09;2026-08-02;2026-08;General Alvarado;robo_comercio;forzamiento;Otamendi;s/d;0;;;tentativa;en_investigacion;"Intento de robo filmado por camara de seguridad en un comercio de calle Moreno entre San Martin y Bolivar. Intento derribar la puerta a patadas y desistio tras varios golpes fallidos. La fiscalia lo vinculo al mismo detenido de C08 por el video y las circunstancias de la aprehension; el detenido esta contado en C08 para no duplicar."
X08;2026-08-04;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;Taxistas piden poder elegir los viajes para evitar zonas peligrosas. Habla Darío López, secretario adjunto de la Federación Nacional de Conductores de Taxis. Reclaman refuerzo de la Policía Bonaerense, intervención de fuerzas federales y regulación de las apps de transporte con antecedentes, licencia profesional y registro del vehículo. DATO: la respuesta policial al botón antipánico demora entre 30 y 40 minutos. Motivado por el crimen del ferretero (ver H02).
D01;2026-08-03;2026-08;General Pueyrredon;robo_comercio;;;fuego;1;;;tentativa;confirmado;Detenido de 24 anos tras intentar robar en la estacion de servicio Shell de avenida Luro y Brasil. Estaba armado.
D02;2026-08-03;2026-08;General Pueyrredon;otro;;;s/d;1;;;consumado;confirmado;Detenido de 53 anos tras una breve persecucion por robar chapas. Caratulado hurto agravado por escalamiento.
D03;2026-08-04;2026-08;General Pueyrredon;otro;;Centro;s/d;1;;;consumado;confirmado;"Detenido de 31 anos desarmando la puerta de aluminio del nicho de gas de un edificio del centro. Un automovilista alerto al ver a un hombre caminando con una puerta al hombro; lo hallaron detras de un contenedor desarmando otra estructura. Fiscal de Flagrancia Ana Maria Caro."
D04;;s/d;General Pueyrredon;robo_comercio;;Fortunato de la Plaza / Don Bosco;s/d;2;;;tentativa;confirmado;Dos detenidos por intentar robar en comercios durante la madrugada.
D05;2026-07-28;2026-07;General Pueyrredon;operativo;;;fuego;0;;;;confirmado;Buscaban a los acusados de un robo de moto y hallaron una pistola con pedido de secuestro.
D06;2026-07-29;2026-07;General Pueyrredon;operativo;;;fuego;3;;;;confirmado;Investigación por robos agravados: secuestro de armas y vehículos robados, tres imputados.
D07;;s/d;General Pueyrredon;robo_via_publica;motochorro;El Progreso;fuego;2;;;tentativa;sin_confirmar;Moto robada, un arma descartada y una fuga: dos presuntos motochorros detenidos en El Progreso. POSIBLE DUPLICADO de M02, que tambien es El Progreso pero con un solo detenido y arma replica. A resolver abriendo ambas notas.
R16;2026-08-03;2026-08;General Pueyrredon;reclamo_vecinal;;;;;;;;confirmado;Convocan a una marcha tras el femicidio. Concentración al mediodía en Luro e Independencia, marcha hasta el Palacio de Tribunales.
R17;2026-08-03;2026-08;General Pueyrredon;reclamo_vecinal;;;;;;;;confirmado;Basta de inseguridad: convocan a una marcha y crecen los reclamos tras el crimen del ferretero.
R18;2026-08-03;2026-08;General Pueyrredon;reclamo_vecinal;;;;;;;;confirmado;FALLA DEL PROTOCOLO. El Movimiento de Mujeres y Diversidades de Mar del Plata-Batán repudia el accionar policial y judicial: la familia de la víctima fue a radicar la denuncia a la Comisaría 16ª y no se activó ningún protocolo de búsqueda. Los familiares reconstruyeron los últimos movimientos y encontraron el cuerpo. Piden investigación independiente, revisión del accionar de la 16ª y aplicación inmediata de protocolos.
R19;2026-08-03;2026-08;General Pueyrredon;reclamo_vecinal;;;;;;;;confirmado;Las CTA reclamaron justicia por la víctima del femicidio y advirtieron que no fue un hecho aislado.
R20;2026-08-03;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;Habló la madre de la víctima: «Organizaron esto para matarla, creemos que hubo un tercer asesino».
R21;2026-08-03;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;Familiares y amigos despidieron a la víctima.
R22;;s/d;General Pueyrredon;reclamo_vecinal;;;;;;;;confirmado;Vecinos vuelven a las calles tras tres crimenes y crece la bronca contra los gobiernos.
R23;;s/d;General Pueyrredon;reclamo_vecinal;;;;;;;;confirmado;Comerciantes centricos responsabilizan a Montenegro y a Kicillof por la crisis de inseguridad.
X09;2026-08-01;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;Nacion no giro fondos discrecionales a Mar del Plata en el primer semestre. Provincia aporto 10,7 mil millones de pesos.
R24;2026-08-05;2026-08;General Pueyrredon;reclamo_vecinal;;Centro;;;;;;confirmado;"Marcha desde Luro e Independencia, por el Palacio Municipal, hasta la Jefatura Departamental de Gascón y Entre Ríos. Cerca de las 14:30 un grupo superó las vallas e intentó derribar una de las rejas de acceso. Dos manifestantes quedaron demorados; no se computan en la columna de detenidos, que en el resto del dataset cuenta delincuentes. Se marchaba por las tres víctimas de los homicidios del 1 y 2 de agosto (ver H02, H03, H06). Voceras citadas: la madre de una de las víctimas, y una referente del barrio San Carlos, junto a la Asociación Madres del Dolor. Entre los reclamos, la renuncia del jefe departamental. Ocho medios, cuatro de ellos nacionales el mismo día. CONSECUENCIAS REGISTRADAS. Ese mismo día se publicó el relevo del jefe departamental Cristian Fontana, que después no se confirmó (X10). El 9 de agosto se anunció la llegada de 150 a 200 efectivos federales para el 1 de septiembre (X20). El 10 de agosto la Provincia anunció 170 efectivos, 50 patrulleros y 36 motos ya operativos, en una nota titulada «Tras los reclamos por seguridad» (X26). La atribución causal es del medio, no nuestra."
X10;2026-08-05;2026-08;General Pueyrredon;contexto;;;;;;;;sin_confirmar;El Ministerio de Seguridad bonaerense relevó al Comisario Mayor Cristian Daniel Fontana como jefe de la Policía Departamental de Mar del Plata, el mismo día de la marcha. Queda interinamente la Comisario Inspector Marta Analía Moya. No se publicaron motivos oficiales. Fontana había asumido en agosto de 2025, en reemplazo de Edgardo Vulcano. El 7 de agosto La Capital publicó que Fontana fue ratificado en el cargo (ver X17). La contradicción entre ambas versiones no está resuelta. El 7 de agosto, 0223 afirma que «el comisario mayor Cristian Fontana sigue al frente de la Jefatura Departamental» (X19), y La Capital publica su ratificación (X17). Dos medios contra los cinco del 5 de agosto: la remoción no se confirmó. El 9 de agosto una tercera nota vuelve a darlo por ratificado en el cargo (ver X21).
E09;2026-08-05;2026-08;General Pueyrredon;robo_vivienda;entradera;La Perla;fuego;2;74;M;consumado;confirmado;"En calle España, cerca de la medianoche. Cuatro delincuentes armados robaron alrededor de 1.200.000 pesos. Durante la fuga uno efectuó al menos un disparo contra la policía. Dos detenidos y dos prófugos. Carátula: robo agravado por uso de arma de fuego apta para disparo, en poblado y en banda. Fiscal Mariano Moyano. La Capital fecha el hecho el miércoles 6 de agosto, pero el 6 fue jueves: ocurrió la noche del miércoles 5. 0223 atribuye la causa a la fiscal Florencia Salas y La Capital al fiscal Mariano Moyano; la discrepancia no está resuelta. 0223 agrega que ingresaron por la terraza."
C10;2026-08-05;2026-08;General Pueyrredon;robo_comercio;;;fuego;1;;;consumado;confirmado;Rotisería El Gor, Padre Dutto al 1900. Robo a mano armada: se llevó la recaudación y una gaseosa. Detenido de 34 años a pocas cuadras.
D08;2026-08-06;2026-08;General Pueyrredon;operativo;inhibidor;;;1;;;;confirmado;"Gascón al 2900, madrugada del jueves; fuga hasta Bordabehere al 2900 y República del Líbano y Castelli. Detenido de 27 años. Secuestro de dos mochilas con herramientas, tres celulares, escaleras para acceder a techos y un inhibidor de señal. Se recuperó una Chevrolet Tracker con pedido de secuestro desde el 16 de junio de 2026 por robo automotor. Carátula: robo agravado por escalamiento en grado de tentativa. Comisaría Segunda, fiscal Leandro Arévalo, UFI de Flagrancia. Unidad Penal 44 de Batán."
D09;2026-08-06;2026-08;General Pueyrredon;operativo;motochorro;;;1;;;;confirmado;La DDI investigó cuatro robos y tentativas de robo de motos ocurridos entre mayo y junio en distintos puntos de la ciudad. Dos allanamientos el miércoles. Detenido de 26 años, ya alojado en la Unidad Penal 44 por otra causa. Un segundo hombre, de 25, quedó imputado y recuperó la libertad. Se secuestró un celular y un kit de conversión táctica para arma de fuego.
D10;2026-08-06;2026-08;General Pueyrredon;operativo;;;fuego;1;;;;confirmado;Detenido de 41 años por un robo agravado por uso de arma de fuego en un comercio ocurrido el 26 de julio. Tenía pedido de captura del Juzgado de Garantías N° 6. Intervinieron la Unidad Táctica de Operaciones de la Comisaría Primera y personal de la Comisaría Undécima.
X11;2026-08-06;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;El Ministerio de Seguridad bonaerense anunció un despliegue territorial propio en los barrios de Mar del Plata, sin intermediación municipal. Informó que durante 2025 transfirió 3.080 millones de pesos a General Pueyrredón para equipamiento, móviles, lectores de patente y mantenimiento del sistema de monitoreo, y que el municipio ejecutó solo el 50%: el resto volvió a las arcas provinciales. El municipio respondió el 9 de agosto (ver X21): sostiene que los 3.080 millones se giraron en tres porciones, que rindió las dos primeras y que la tercera está pendiente, y que tiene 51 lectores de patente.
O06;2026-08-06;2026-08;General Pueyrredon;robo_vivienda;;Fray Luis Beltran;blanca;1;49;M;tentativa;confirmado;"En calle Urquía, durante la noche. Un joven de 21 años ingresó a la vivienda y forcejé con el dueño, de 49, que sufrió una herida cortante superficial en el glúteo y fue asistido por el SAME. Familiares lo redujeron en el patio hasta la llegada policial; el aprehendido presentaba una lesión leve en el cuero cabelludo. Carátula: violación de domicilio y lesiones. Comisaría Decimoquinta, Unidad Penal 44 de Batán. Los dos medios fechan el hecho el jueves 7, pero el 7 fue viernes: el jueves fue 6."
E10;2026-08-06;2026-08;General Pueyrredon;robo_vivienda;entradera;Lomas de Stella Maris;;0;;;tentativa;confirmado;Rawson y Pellegrini, durante la noche. Intentó entrar detrás de un vehículo aprovechando la apertura del portón y quedó con el pie enganchado en el mecanismo de cierre automático. Dos cómplices lo liberaron y huyeron sin concretar el robo.
M11;2026-08-07;2026-08;General Pueyrredon;robo_via_publica;;zona sur;fuego;0;menor de edad;M;consumado;confirmado;Al mediodía. Dos hombres le robaron un iPhone 16 Pro a un menor de edad apuntándole con una pistola. Sin detenidos. La madre denunció robos similares reiterados en la zona y que no se pudo recuperar el equipo por geolocalización.
M12;2026-08-07;2026-08;General Pueyrredon;robo_automotor;;Parque Luro;s/d;0;;F;consumado;confirmado;Una conductora de DiDi fue asaltada por un hombre y una mujer en Valencia entre Ingenieros y Tejedor, tras un viaje iniciado en Moreno y Perú. Se llevaron un Renault Symbol gris, recuperado horas después en Rivadavia entre Perú y México. En el operativo también se secuestró un Peugeot 206 con efectos personales y celulares de la víctima.
C11;2026-07-21;2026-07;General Pueyrredon;robo_comercio;;La Perla;s/d;0;;;consumado;confirmado;Almacén de avenida Libertad y España. Se llevaron alrededor de 70.000 pesos. Es el primero de dos robos al mismo comercio en quince días. Registro incorporado el 7 de agosto, después de publicado el documento de relevamiento de julio, que por eso informa 30 hechos y 47 notas. 0223 lo ubica en el barrio Libertad, pero ese tramo de la avenida corresponde a La Perla: la salidera de Libertad y Dorrego y la entradera de España al 1100 están codificadas ahí. El barrio Libertad queda en el otro extremo de la avenida. Verificado sobre las divisiones de barrio de OpenStreetMap: Libertad y España es La Perla.
C12;2026-08-04;2026-08;General Pueyrredon;robo_comercio;;La Perla;s/d;0;;;consumado;confirmado;Segundo robo al mismo almacén de avenida Libertad y España en quince días. Se llevaron alrededor de 15.000 pesos. Los dueños blindaron el comercio con rejas. 0223 lo ubica en el barrio Libertad, pero ese tramo de la avenida corresponde a La Perla: la salidera de Libertad y Dorrego y la entradera de España al 1100 están codificadas ahí. El barrio Libertad queda en el otro extremo de la avenida. Verificado sobre las divisiones de barrio de OpenStreetMap: Libertad y España es La Perla.
D11;2026-08-05;2026-08;Loberia;operativo;;;;1;;;;confirmado;"Dos allanamientos en Lobería por una tentativa de estafa telefónica cometida en Necochea. Se secuestraron autopartes —puertas, ópticas, guardabarros— de un auto robado en Mar del Plata, además de prendas y calzado. Carátula: tentativa de estafa y presunto encubrimiento. El auto era marplatense; el desguace, no."
X12;2026-08-06;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;"Fabián Fernández Garello, Fiscal General del Departamento Judicial de Mar del Plata: «No se resuelve con un patrullero en cada esquina». Datos que aportó: la Unidad Penal 15, construida para 500 a 600 internos, aloja alrededor de 1.500; la alcaidía local, diseñada para 400, aloja unos 700; el 70% de las mujeres que denuncian violencia de género declara que las agresiones comenzaron con consumo de drogas."
X13;2026-08-05;2026-08;General Pueyrredon;contexto;falsa_oferta_laboral;;;;;;;confirmado;La empresa Cagnoli alertó públicamente sobre una falsa búsqueda laboral que usaba su nombre y pedía dinero a los postulantes para concretar la contratación o gestionar el carnet de manipulación de alimentos. «No realizamos cobros para seleccionar personal»: sus procesos de selección son gratuitos.
X14;2026-08-07;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;La Comisión de Seguridad del Concejo Deliberante aprobó la creación de una Mesa de Política Criminal y Coordinación de Políticas Locales de Seguridad, que reuniría a los tres niveles del Estado, la policía, la Justicia y entidades intermedias. La impulsa el concejal Diego García, de Unión por la Patria, que la presentó en 2024. Giró a la Comisión de Legislación. El PRO y sus aliados se abstuvieron sin bloquearla.
X15;2026-08-07;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;Marcelo Cardoso, concejal del PRO: «La seguridad pública es una responsabilidad primaria de la Provincia». Sostuvo que el municipio cumple un rol complementario y pidió dejar de lado las discrepancias políticas.
X16;2026-08-07;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;"La Sala II de la Cámara de Apelación y Garantías resolvió que sea juzgado el conductor de la moto en la que murió su acompañante tras un choque en Armenia y Belgrano. Carátula: homicidio culposo agravado por conducción imprudente. El jubilado que conducía el Volkswagen Suran fue sobreseído. El choque fue en abril de 2024; la fecha de este registro corresponde a la resolución judicial, para no alterar las series temporales."
